Building components;Building element;Level 3: Material;Unit;Quantity ;Repl (year);GWP [kg CO2 eq] A1-A3;GWP [kg CO2 eq];GHG from KBOB;KBOB ID;GWP [kg CO2 eq] KBOB ID;GHG from KBOB
Foundation;EF01_Erdanlieg. Boden / Foyer u. Stiegenhaus / 6kN/m²+5kN;NaturalAggregate;kg;55243.35;50;8475.88728;0.040321047;0.112215929;4.01;0.427; [kg CO2 eq]
Foundation;EF01_Erdanlieg. Boden / Foyer u. Stiegenhaus / 6kN/m²+5kN;lean concrete;kg;60282.40009;50;2970.705194;0.014132083;0.016948241;1.001;0.0591;0.112215929
Foundation;EF01_Erdanlieg. Boden / Foyer u. Stiegenhaus / 6kN/m²+5kN;XPS;kg;1318.556128;50;5473.131586;0.026036495;0.090952209;10.005;14.5;0.016948241
Foundation;EF01_Erdanlieg. Boden / Foyer u. Stiegenhaus / 6kN/m²+5kN;Geotextile;kg;2282.191041;50;2270.850562;0.010802771;0.060254794;9.005;5.55;0.090952209
Foundation;EF01_Erdanlieg. Boden / Foyer u. Stiegenhaus / 6kN/m²+5kN;ConcreteFoundation;kg;285067.4836;50;29648.15576;0.141040653;0.134525923;1.002;0.0992;0.060254794
Foundation;EF01_Erdanlieg. Boden / Foyer u. Stiegenhaus / 6kN/m²+5kN;ReinforcingSteel;kg;21686.31999;50;8736.327067;0.041559997;0.070358547;6.003;0.682;0.134525923
Foundation;EF01_Erdanlieg. Boden / Foyer u. Stiegenhaus / 6kN/m²+5kN;LightweightAggregate;kg;15494.18109;50;19505.5293;0.092790682;0.031473362;4.01;0.427;0.070358547
Foundation;EF01_Erdanlieg. Boden / Foyer u. Stiegenhaus / 6kN/m²+5kN;Rockwool;kg;701.8340204;50;764.5139954;0.003636906;0.003772763;10.008;1.13;0.031473362
Foundation;EF01_Erdanlieg. Boden / Foyer u. Stiegenhaus / 6kN/m²+5kN;PE;kg;42.92583258;50;86.70683767;0.000412477;0.000194199;4.003;0.951;0.003772763
Foundation;EF01_Erdanlieg. Boden / Foyer u. Stiegenhaus / 6kN/m²+5kN;CementMortar;kg;35788.49461;50;6852.219591;0.03259702;0.04579756;4.009;0.269;0.000194199
Foundation;EF01_Erdanlieg. Boden / Foyer u. Stiegenhaus / 6kN/m²+5kN;FlowingMortar;kg;2403.595167;50;1176.020941;0.005594505;0.011148401;4.011;0.975;0.04579756
Foundation;EF02_Erdanlieg. Boden / Labors / 5kN/m²+5kN;NaturalAggregate;kg;139752;50;21441.89661;0.102002267;0.283878521;4.01;0.427;0.011148401
Foundation;EF02_Erdanlieg. Boden / Labors / 5kN/m²+5kN;lean concrete;kg;152499.5493;50;7515.148743;0.035750672;0.042874855;1.001;0.0591;0.283878521
