Categories;Family;Type;model;mark;IFC Predefined Type;IfcConstructionType;IfcContainedInHost;IfcContainedInHostGUID;IfcMaterial;IfcName;IfcName [Type];IfcOperationType;IfcPresentationLayer;IfcSpatialContainer;count;Export to IFC As
Generic Models;;;;;;;;;;B.A;;;water and sewage systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;B.A;;;water and sewage systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;B.A;;;water and sewage systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;safety rope;;;internals;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;;;;water and sewage systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;;;;water and sewage systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;;;;water and sewage systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;;;;water and sewage systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;safety rope;;;internals;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;safety rope;;;internals;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;safety rope;;;internals;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;safety rope;;;internals;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;safety rope;;;internals;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;string ventilation;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;B.A;;;water and sewage systems;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;securant;;;;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;safety rope;;;internals;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;safety rope;;;internals;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;safety rope;;;internals;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;safety rope;;;internals;G-04 Attica;1;IfcBuildingElementProxy
Generic Models;;;;;;;;;;;;;ventilation systems;G-04 Attica;1;IfcBuildingElementProxy
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;not specified: 0.05 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;Insulation materials: 0.104 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;Insulation materials: 0.1 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;Insulation materials: 0.1 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;Insulation materials: 0.104 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
walls;;;;;;;;;Insulation materials: 0.1 m;non-bearing wall;;;insulations;G-04 Attica;1;IfcWallStandardCase
structural framing;;;;;;;;;steel;LNP 160.12;;;beams;G-04 Attica;1;IfcBeam
floors;;;;;FLOOR;;;;not fixed;Lignature ceiling;;;Cover;G-04 Attica;1;IfcSlab
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
structural framing;;;;;;;;;steel;RRP 270;;;beams;G-04 Attica;1;IfcBeam
